"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","H/AB","R","HR","RBI","SO","SB","AVG","OPS","GP"
"*01u75*","Salvador Perez","KC","C,1B","238","DOB","Active","36","HOU Sun 2:10PM","68.04","91%","-3%","52/253","25","9","26","52","0",".206",".588","65"
"*05ua7*","Jackson Merrill","SD","OF","239","45s","Reserve","23","@BAL Sun 1:35PM","68.02","98%","0%","51/251","31","7","27","67","10",".203",".615","66"
"*01sy3*","Nolan Arenado","ARI","3B","241","KCP","Active","35","@CIN Sun 1:40PM","68.01","75%","-3%","53/218","30","8","31","52","2",".243",".734","66"
"*04pks*","Matt McLain","CIN","2B,SS","244","45s","Active","26","ARI Sun 1:40PM","67.86","81%","+2%","47/227","29","8","25","63","10",".207",".671","66"
"*04mn5*","Alec Bohm","PHI","3B","247","GOATS","Active","29","@MIL Sun 2:10PM","67.53","68%","-1%","54/243","20","8","34","39","1",".222",".636","66"
"*03qyv*","Jake McCarthy","COL","OF","248","AKR","Inj Res","28","@ATH Sun 3:05PM","67.53","57%","-1%","49/174","22","4","27","38","11",".282",".775","58"
"*04pmu*","Ryan Jeffers","MIN","C","251","ALASKA","Reserve","29","STL Sun 2:10PM","67.47","74%","-1%","36/122","26","7","26","23","1",".295",".949","37"
"*04eej*","Gavin Sheets","SD","1B,OF","252","MN","Active","30","@BAL Sun 1:35PM","67.47","62%","-6%","46/200","27","11","30","52","3",".230",".779","63"
"*026lz*","Josh Bell","MIN","1B","257","AKR","Active","33","STL Sun 2:10PM","67.01","46%","0%","57/250","32","7","40","65","1",".228",".647","69"
"*01ual*","Paul Goldschmidt","NYY","1B","260","SUGA","Active","38","@TOR Sun 1:37PM","66.84","54%","+5%","43/151","24","9","31","31","1",".285",".889","44"
"*04y95*","JJ Bleday","CIN","OF","261","DOB","Active","28","ARI Sun 1:40PM","66.71","82%","0%","41/155","23","11","29","33","2",".265",".912","41"
"*05161*","Dominic Canzone","SEA","OF","263","AKR","Active","28","@WSH Sun 1:35PM","66.55","52%","+7%","45/158","25","10","29","35","1",".285",".917","63"
"*05vy5*","Carter Jensen","KC","C","264","SSP","Active","22","HOU Sun 2:10PM","66.49","86%","0%","47/214","29","8","35","70","0",".220",".682","65"
"*02bu9*","Marcus Semien","NYM","2B","266","BOS","Active","35","ATL Sun 1:40PM","66.45","65%","-1%","55/252","26","8","25","58","6",".218",".618","70"
"*03pje*","Taylor Ward","BAL","OF","270","MN","Active","32","SD Sun 1:35PM","65.88","96%","0%","67/259","45","3","20","66","2",".259",".762","71"
"*05m1e*","Jackson Chourio","MIL","OF","271","Rome","Active","22","PHI Sun 2:10PM","65.83","100%","0%","47/148","26","8","25","40","5",".318",".921","34"
"*041ts*","Luke Raley","SEA","1B,OF","272","ALASKA","Reserve","31","@WSH Sun 1:35PM","65.8","63%","-3%","46/187","24","14","35","66","1",".246",".822","65"
"*0310z*","J.P. Crawford","SEA","SS","274","BOS","Reserve","31","@WSH Sun 1:35PM","65.66","54%","-5%","44/193","31","10","23","44","1",".228",".766","56"
"*04s1g*","Gabriel Moreno","ARI","C","278","SUGA","Active","26","@CIN Sun 1:40PM","65.37","76%","+4%","41/154","23","5","22","33","4",".266",".787","46"
"*03pom*","Austin Riley","ATL","3B","279","GOATS","Active","29","@NYM Sun 1:40PM","65.28","98%","-1%","52/253","31","8","34","82","4",".206",".639","70"
"*03ae8*","Dansby Swanson","CHC","SS","288","KCP","Active","32","@SF Sun 3:10PM","64.86","85%","-4%","39/221","38","7","28","64","6",".176",".595","67"
"*04g7n*","Oswald Peraza","LAA","2B,3B","290","45s","Reserve","25","TB Sun 4:07PM","64.82","37%","-1%","53/203","20","7","21","56","9",".261",".740","65"
"*05rb1*","Sal Frelick","MIL","OF","294","KCP","Active","26","PHI Sun 2:10PM","64.63","63%","-2%","48/210","26","3","25","25","5",".229",".613","65"
"*02bq2*","Brandon Nimmo","TEX","OF","295","PAW","Active","33","@BOS Sun 7:20PM","64.62","96%","-1%","66/260","28","7","23","61","2",".254",".729","68"
"*041e2*","Mickey Moniak","COL","OF","296","SUGA","Inj Res","28","@ATH Sun 3:05PM","64.55","92%","-1%","42/150","21","12","28","40","1",".280",".942","43"
"*030uc*","Rafael Devers","SF","1B","298","KCP","Active","29","CHC Sun 3:10PM","64.31","99%","0%","65/278","33","9","33","93","0",".234",".704","71"
"*03nru*","Jesus Sanchez","TOR","OF","300","AKR","Active","28","NYY Sun 1:37PM","64.16","46%","-1%","56/192","22","7","29","43","1",".292",".796","65"
"*02xic*","Teoscar Hernandez","LAD","OF","301","45s","Inj Res","33","@CHW Sun 2:10PM","64.11","95%","-1%","50/181","30","7","31","55","2",".276",".785","51"
"*042sz*","Will Smith","LAD","C","305","KCP","Reserve","31","@CHW Sun 2:10PM","63.95","97%","-1%","43/173","23","6","23","34","0",".249",".720","53"
"*03pzn*","Andres Gimenez","TOR","2B,SS","306","GOATS","Reserve","27","NYY Sun 1:37PM","63.93","62%","-4%","50/225","16","6","30","48","7",".222",".620","68"
"*04b02*","Seiya Suzuki","CHC","OF,UT","307","PAW","Active","31","@SF Sun 3:10PM","63.92","98%","0%","53/208","31","10","28","62","0",".255",".772","57"
"*06plc*","Sam Antonacci","CHW","2B,3B,SS,OF","308","PAW","Reserve","23","LAD Sun 2:10PM","63.9","73%","+1%","48/172","31","1","16","32","9",".279",".747","51"
"*060jo*","Cam Smith","HOU","OF","310","45s","Reserve","23","@KC Sun 2:10PM","63.78","76%","-2%","51/236","28","7","26","74","8",".216",".658","71"
"*03rmz*","Keibert Ruiz","WSH","C","315","DOB","Active","27","SEA Sun 1:35PM","63.6","63%","-1%","37/138","18","5","27","19","1",".268",".768","44"
"*03pzo*","Leody Taveras","BAL","OF","321","ALASKA","Active","27","SD Sun 1:35PM","62.85","22%","-2%","47/182","26","2","28","46","8",".258",".717","59"
"*04efa*","Daulton Varsho","TOR","OF","322","SSP","Active","29","NYY Sun 1:37PM","62.8","78%","-6%","54/211","27","5","17","45","5",".256",".738","64"
"*05gwy*","Masyn Winn","STL","SS","332","AKR","Active","24","@MIN Sun 2:10PM","61.73","61%","-1%","52/228","26","2","26","54","6",".228",".621","61"
"*0515v*","David Hamilton","MIL","2B,3B,SS","343","ALASKA","Active","28","PHI Sun 2:10PM","61.25","28%","+1%","38/166","29","3","11","41","14",".229",".635","57"
"*0423c*","Carlos Cortes","ATH","OF","348","Rome","Active","28","COL Sun 3:05PM","61.04","48%","-6%","49/160","16","6","19","17","1",".306",".882","56"
"*05u9q*","Jac Caglianone","KC","OF","351","Rome","Active","23","HOU Sun 2:10PM","60.86","92%","+4%","58/215","27","8","19","70","3",".270",".788","65"
"*05yj1*","Nolan Schanuel","LAA","1B","357","DOB","Reserve","24","TB Sun 4:07PM","60.55","52%","-1%","53/204","21","4","25","37","0",".260",".694","55"
"*03btu*","Willi Castro","COL","1B,2B,3B,SS,OF","360","BOS","Reserve","29","@ATH Sun 3:05PM","60.44","52%","+3%","54/203","28","3","22","57","5",".266",".704","60"
"*04en7*","Garrett Mitchell","MIL","OF","365","PAW","Reserve","27","PHI Sun 2:10PM","60.12","46%","-2%","46/183","29","4","33","75","6",".251",".770","58"
"*04yk2*","Spencer Torkelson","DET","1B","366","GOATS","Active","26","@CLE Sun 1:40PM","60.11","82%","-1%","49/234","25","11","28","90","0",".209",".718","70"
"*02mxf*","Carson Kelly","CHC","C","368","KCP","Active","31","@SF Sun 3:10PM","60.01","59%","-3%","46/166","21","3","19","32","0",".277",".722","52"
"*05mdt*","Evan Carter","TEX","OF","369","Rome","Reserve","23","@BOS Sun 7:20PM","59.84","63%","-2%","34/193","26","6","21","54","10",".176",".613","66"
"*03pdw*","Andrew Benintendi","CHW","OF","370","MN","Active","31","LAD Sun 2:10PM","59.82","26%","0%","46/199","27","7","31","61","1",".231",".693","63"
"*0622t*","Jacob Wilson","ATH","SS","371","SSP","Active","24","COL Sun 3:05PM","59.76","91%","0%","48/168","19","3","21","20","2",".286",".695","41"
"*02i11*","Jorge Soler","LAA","OF","372","DOB","Reserve","34","TB Sun 4:07PM","59.63","60%","-9%","47/214","28","9","33","76","0",".220",".702","59"
"*05y4b*","Caleb Durbin","BOS","3B","376","PAW","Reserve","26","TEX Sun 7:20PM","59.28","49%","0%","39/198","20","3","26","31","5",".197",".573","62"
"*025dn*","Christian Yelich","MIL","UT","380","BOS","Active","34","PHI Sun 2:10PM","59.05","98%","0%","43/154","32","4","22","49","5",".279",".775","39"
"*05zde*","Travis Bazzana","CLE","2B","388","Rome","Active","23","DET Sun 1:40PM","58.8","89%","0%","38/151","16","4","17","35","11",".252",".749","41"
"*04pr1*","Steven Kwan","CLE","OF","389","AKR","Reserve","28","DET Sun 1:40PM","58.78","84%","-2%","49/228","30","1","13","27","3",".215",".585","65"
"*05xtz*","Dalton Rushing","LAD","C","390","ALASKA","Active","25","@CHW Sun 2:10PM","58.75","71%","+7%","31/115","20","8","21","33","0",".270",".885","39"
"*024m0*","Jose Altuve","HOU","2B,OF","406","DOB","Active","36","@KC Sun 2:10PM","57.92","96%","0%","45/189","31","6","15","46","1",".238",".705","50"
"*05135*","Jake Mangum","PIT","OF","418","45s","Active","30","MIA Sun 12:15PM","57.34","25%","+2%","40/135","19","1","10","27","13",".296",".707","52"
"*041xv*","Nathaniel Lowe","CIN","1B","424","KCP","Reserve","30","ARI Sun 1:40PM","57.17","32%","-6%","37/150","16","9","25","40","0",".247",".822","53"
"*031t0*","Gleyber Torres","DET","2B","433","SUGA","Active","29","@CLE Sun 1:40PM","56.79","85%","0%","44/156","26","4","18","32","0",".282",".794","42"
"*04ppj*","Jeremy Pena","HOU","SS","434","45s","Active","28","@KC Sun 2:10PM","56.69","95%","0%","36/129","25","3","12","20","5",".279",".755","34"
"*03zcy*","Mark Vientos","NYM","1B,3B","443","SUGA","Reserve","26","ATL Sun 1:40PM","56.48","45%","-5%","42/198","19","7","27","47","0",".212",".609","58"
"*02mw6*","Corey Seager","TEX","SS","451","BOS","Reserve","32","@BOS Sun 7:20PM","56.35","97%","0%","33/177","25","9","24","54","1",".186",".657","47"
"*04efc*","Tyler Freeman","COL","OF","455","KCP","Reserve","27","@ATH Sun 3:05PM","56.19","18%","-2%","39/143","16","3","18","19","5",".273",".725","44"
"*05js5*","Coby Mayo","BAL","1B,3B","465","SSP","Active","24","SD Sun 1:35PM","55.85","46%","0%","35/179","25","9","26","63","1",".196",".646","58"
"*01t9q*","Gary Sanchez","MIL","C","469","MN","Reserve","33","PHI Sun 2:10PM","55.71","25%","-1%","24/106","20","7","19","26","0",".226",".855","40"
"*04mra*","Ezequiel Tovar","COL","SS","475","SUGA","Reserve","24","@ATH Sun 3:05PM","55.45","59%","-2%","49/232","20","5","23","70","4",".211",".591","67"
"*062ho*","Javier Sanoja","MIA","2B,3B,OF,RP","477","MN","Active","23","@PIT Sun 12:15PM","55.26","18%","0%","39/153","12","2","24","18","3",".255",".671","54"
"*04nky*","Trevor Larnach","MIN","OF,UT","478","GOATS","Active","29","STL Sun 2:10PM","55.19","35%","-2%","43/173","29","3","17","42","2",".249",".730","58"
"*04e2u*","Brent Rooker","ATH","OF,UT","483","DOB","Reserve","31","COL Sun 3:05PM","55.08","96%","-1%","36/180","20","10","29","65","2",".200",".670","48"
"*059bx*","Brady House","WSH","3B","485","45s","Reserve","23","SEA Sun 1:35PM","54.91","47%","-1%","37/163","22","7","25","50","1",".227",".681","44"
"*04yib*","Brett Baty","NYM","1B,2B,3B,OF","486","DOB","Reserve","26","ATL Sun 1:40PM","54.86","47%","-3%","47/210","24","3","25","65","3",".224",".608","67"
"*025he*","George Springer","TOR","OF","488","GOATS","Active","36","NYY Sun 1:37PM","54.76","89%","-2%","38/187","21","6","16","41","3",".203",".653","49"
"*06bs4*","Daniel Schneemann","CLE","2B,3B,OF","491","MN","Reserve","29","DET Sun 1:40PM","54.57","29%","-5%","41/179","21","5","22","56","4",".229",".663","56"
"*025i9*","J.T. Realmuto","PHI","C","506","BOS","Active","35","@MIL Sun 2:10PM","53.99","52%","-2%","33/157","15","4","15","34","3",".210",".606","48"
"*05y30*","Justin Crawford","PHI","OF","511","Rome","Reserve","22","@MIL Sun 2:10PM","53.75","63%","-2%","44/194","18","2","13","44","8",".227",".610","65"
"*05ras*","Colton Cowser","BAL","OF","517","KCP","Active","26","SD Sun 1:35PM","53.59","64%","+1%","32/145","23","7","23","48","2",".221",".698","62"
"*04up9*","Heriberto Hernandez","MIA","OF","523","DOB","Active","26","@PIT Sun 12:15PM","53.1","19%","-1%","30/127","13","5","25","33","5",".236",".688","44"
"*02btf*","Mookie Betts","LAD","SS","531","KCP","Active","33","@CHW Sun 2:10PM","52.69","99%","0%","28/143","21","6","17","20","0",".196",".611","36"
"*04y94*","Jonny DeLuca","TB","OF","533","ALASKA","Reserve","27","@LAA Sun 4:07PM","52.67","14%","0%","32/119","17","2","19","26","6",".269",".710","41"
"*05jsg*","Owen Caissie","MIA","OF","539","ALASKA","Active","23","@PIT Sun 12:15PM","52.39","57%","-2%","36/168","19","6","35","75","3",".214",".656","62"
"*05r9j*","Marcelo Mayer","BOS","2B,3B,SS","540","Rome","Reserve","23","TEX Sun 7:20PM","52.36","56%","-1%","39/177","18","3","17","35","3",".220",".591","61"
"*05rbs*","Moises Ballesteros","CHC","UT","541","AKR","Active","22","@SF Sun 3:10PM","52.31","58%","-2%","35/150","15","6","23","34","1",".233",".690","56"
"*031dw*","Mike Yastrzemski","ATL","OF","546","MN","Active","35","@NYM Sun 1:40PM","52.09","24%","-1%","41/175","26","3","18","47","1",".234",".668","64"
"*051em*","Kerry Carpenter","DET","OF","547","Rome","Reserve","28","@CLE Sun 1:40PM","52.04","72%","+1%","32/135","15","9","26","49","0",".237",".805","48"
"*02i2q*","Carlos Correa","HOU","3B,SS","548","DOB","Inj Res","31","@KC Sun 2:10PM","52.02","54%","-1%","34/122","22","3","16","26","1",".279",".787","33"
"*05rfu*","Kyle Manzardo","CLE","1B","549","DOB","Reserve","25","DET Sun 1:40PM","52","53%","-1%","45/188","23","7","22","69","0",".239",".726","62"
"*0317o*","Jeff McNeil","ATH","2B,OF","552","BOS","Active","34","COL Sun 3:05PM","51.98","33%","-3%","47/203","15","2","15","32","1",".232",".609","63"
"*03avk*","Luis Rengifo","MIL","2B,3B","554","MN","Reserve","29","PHI Sun 2:10PM","51.89","17%","-1%","37/181","18","0","19","24","3",".204",".535","57"
"*04si2*","Andrew Vaughn","MIL","1B","562","DOB","Active","28","PHI Sun 2:10PM","51.62","64%","0%","34/93","14","2","18","10","0",".366",".986","31"
"*04aq4*","Adolis Garcia","PHI","OF","565","SSP","Active","33","@MIL Sun 2:10PM","51.61","60%","-3%","45/231","21","7","21","84","3",".195",".599","67"
"*03whq*","Ty France","SD","1B","568","DOB","Reserve","31","@BAL Sun 1:35PM","51.49","11%","-1%","34/132","15","6","18","36","1",".258",".772","48"
"*0310n*","Ryan McMahon","NYY","3B","569","BOS","Active","31","@TOR Sun 1:37PM","51.45","27%","-1%","36/171","17","7","21","58","3",".211",".631","63"
"*04ee8*","Heliot Ramos","SF","OF","572","GOATS","Active","26","CHC Sun 3:10PM","51.3","72%","-1%","44/165","19","4","20","47","0",".267",".731","44"
"*05jrh*","Colt Keith","DET","2B,3B","578","GOATS","Active","24","@CLE Sun 1:40PM","51.02","52%","-3%","49/191","24","1","10","42","3",".257",".634","65"
"*03pix*","Tyler Stephenson","CIN","C","582","BOS","Reserve","29","ARI Sun 1:40PM","50.77","35%","-1%","35/171","12","5","19","53","0",".205",".633","56"
"*051dl*","Edouard Julien","COL","1B,2B","583","BOS","Reserve","27","@ATH Sun 3:05PM","50.72","15%","0%","38/167","23","2","17","52","4",".228",".630","60"
"*05tce*","Connor Norby","MIA","1B,3B","584","ALASKA","Reserve","26","@PIT Sun 12:15PM","50.69","35%","-2%","38/181","17","4","16","61","6",".210",".666","58"
"*0516n*","Isaac Collins","KC","OF","586","MN","Active","28","HOU Sun 2:10PM","50.61","25%","-1%","41/191","23","3","17","59","3",".215",".640","62"
"*04y97*","Kyle Stowers","MIA","OF","594","BOS","Active","28","@PIT Sun 12:15PM","50.06","86%","-2%","38/176","21","5","21","59","1",".216",".680","48"
"*04eew*","Ryan Vilade","TB","1B,OF","597","GOATS","Active","27","@LAA Sun 4:07PM","50","10%","+2%","30/103","10","3","23","22","3",".291",".803","41"
"*04ai4*","Nolan Gorman","STL","2B,3B","600","KCP","Reserve","26","@MIN Sun 2:10PM","49.93","43%","-3%","39/201","19","7","26","74","0",".194",".598","62"
"*04q56*","Logan O'Hoppe","LAA","C","601","Rome","Reserve","26","TB Sun 4:07PM","49.91","43%","-1%","32/145","16","3","17","39","0",".221",".620","47"
"*04my4*","Cal Raleigh","SEA","C","604","BOS","Inj Res","29","@WSH Sun 1:35PM","49.84","99%","0%","26/161","16","7","18","57","2",".161",".560","42"
"*05u96*","Bryce Eldridge","SF","UT","619","Rome","Active","21","CHC Sun 3:10PM","48.97","80%","+6%","32/101","18","5","13","25","0",".317",".956","30"
"*04z6m*","Agustin Ramirez","MIA","C","621","GOATS","Reserve","24","@PIT Sun 12:15PM","48.92","66%","-1%","26/113","14","2","14","28","3",".230",".663","31"
"*04qnc*","Francisco Alvarez","NYM","C","622","Rome","Reserve","24","ATL Sun 1:40PM","48.91","62%","+2%","30/126","13","5","12","34","0",".238",".704","41"
"*0513c*","Joey Ortiz","MIL","SS","623","BOS","Reserve","27","PHI Sun 2:10PM","48.88","20%","-1%","29/142","18","1","14","27","5",".204",".559","59"
"*04aeb*","Royce Lewis","MIN","3B","630","MN","Active","27","STL Sun 2:10PM","48.41","70%","+4%","27/130","15","6","17","41","3",".208",".675","38"
"*04prt*","Lawrence Butler","ATH","OF","645","Rome","Reserve","25","COL Sun 3:05PM","47.4","59%","-3%","29/167","19","4","17","49","4",".174",".531","63"
"*04z8z*","Yohendrick Pinango","TOR","OF","650","AKR","Active","24","NYY Sun 1:37PM","47.22","19%","0%","35/117","9","4","18","28","0",".299",".797","39"
"*04z6k*","Luisangel Acuna","CHW","2B,SS,OF","654","ALASKA","Reserve","24","LAD Sun 2:10PM","46.87","28%","0%","23/115","13","0","7","21","12",".200",".465","50"
"*02bqh*","Trevor Story","BOS","SS","656","MN","Reserve","33","TEX Sun 7:20PM","46.83","61%","-2%","34/165","16","3","19","57","4",".206",".547","41"
"*02jh6*","Eugenio Suarez","CIN","3B","690","BOS","Active","34","ARI Sun 1:40PM","45.29","90%","-3%","33/154","14","5","18","52","0",".214",".633","44"
"*063vu*","Matt Shaw","CHC","3B,OF","703","SUGA","Reserve","24","@SF Sun 3:10PM","44.79","55%","0%","24/98","10","3","12","19","3",".245",".697","45"
"*05rc3*","Masataka Yoshida","BOS","UT","708","GOATS","Reserve","32","TEX Sun 7:20PM","44.57","15%","-1%","31/130","14","1","10","17","1",".238",".652","46"
"*0524l*","Yainer Diaz","HOU","C","711","MN","Reserve","27","@KC Sun 2:10PM","44.5","61%","-1%","24/101","7","2","14","16","0",".238",".601","27"
"*05xu1*","Alex Freeland","LAD","2B,3B","713","SSP","Active","24","@CHW Sun 2:10PM","44.42","25%","-1%","31/134","17","3","14","41","1",".231",".656","48"
"*05xty*","Dylan Beavers","BAL","OF","722","SSP","Active","24","SD Sun 1:35PM","44.17","52%","0%","25/103","16","2","12","28","3",".243",".699","33"
"*0513l*","Brenton Doyle","COL","OF","737","GOATS","Reserve","28","@ATH Sun 3:05PM","43.37","40%","-1%","23/111","21","1","4","40","9",".207",".549","43"
"*060ub*","Colt Emerson","SEA","3B,SS","739","Rome","Active","20","@WSH Sun 1:35PM","43.18","81%","0%","17/73","12","6","14","24","0",".233",".884","23"
"*05ahg*","Austin Wells","NYY","C","751","ALASKA","Reserve","26","@TOR Sun 1:37PM","42.22","38%","-4%","24/145","15","4","7","45","0",".166",".533","47"
"*060pm*","Wyatt Langford","TEX","OF","752","KCP","Active","24","@BOS Sun 7:20PM","42.2","97%","0%","27/112","13","2","7","27","3",".241",".655","28"
"*04pse*","Brendan Donovan","SEA","2B,3B","756","BOS","Inj Res","29","@WSH Sun 1:35PM","42.06","85%","-1%","23/84","9","3","8","15","1",".274",".839","26"
"*05t9l*","Max Muncy","ATH","2B,3B","757","45s","Active","23","COL Sun 3:05PM","42","47%","-1%","25/107","17","2","11","39","2",".234",".683","30"
"*04emt*","Jake Meyers","HOU","OF","768","KCP","Reserve","29","@KC Sun 2:10PM","41.45","18%","-1%","23/104","12","3","10","22","1",".221",".627","35"
"*06dn7*","A.J. Ewing","NYM","OF","770","45s","Reserve","21","ATL Sun 1:40PM","41.26","62%","-3%","25/100","12","1","7","36","7",".250",".657","30"
"*066cn*","Wade Meckler","LAA","OF","778","PAW","Reserve","26","TB Sun 4:07PM","41.11","26%","+4%","18/59","10","2","12","13","2",".305",".870","19"
"*02611*","Francisco Lindor","NYM","SS","783","GOATS","Reserve","32","ATL Sun 1:40PM","40.82","99%","0%","21/93","14","2","5","19","2",".226",".669","24"
"*05y7t*","Henry Bolte","ATH","OF","792","PAW","Active","22","COL Sun 3:05PM","40.48","49%","-3%","27/87","8","1","7","29","5",".310",".781","28"
"*05rcd*","Joe Mack","MIA","C","793","SUGA","Active","23","@PIT Sun 12:15PM","40.46","34%","0%","22/93","11","1","13","30","0",".237",".595","30"
"*06am0*","Mickey Gasper","BOS","C","798","MN","Active","30","TEX Sun 7:20PM","40.23","10%","-1%","23/84","11","0","6","19","0",".274",".671","26"
"*06dlz*","Ryan Waldschmidt","ARI","OF","806","SUGA","Active","23","@CIN Sun 1:40PM","39.92","67%","-6%","29/112","11","0","8","40","5",".259",".671","33"
"*05ybv*","Jackson Holliday","BAL","2B","807","Rome","Active","22","SD Sun 1:35PM","39.78","91%","-1%","14/69","11","3","11","22","3",".203",".664","22"
"*047l7*","Luis Robert Jr.","NYM","OF","808","SUGA","Inj Res","28","ATL Sun 1:40PM","39.69","78%","-1%","19/85","10","2","8","17","2",".224",".656","24"
"*01cdf*","Giancarlo Stanton","NYY","OF,UT","809","GOATS","Reserve","36","@TOR Sun 1:37PM","39.68","75%","-1%","23/90","8","3","14","29","1",".256",".724","24"
"*04y9p*","Anthony Volpe","NYY","SS","815","GOATS","Active","25","@TOR Sun 1:37PM","39.53","56%","-3%","13/67","11","1","9","17","5",".194",".606","21"
"*03qjv*","Harrison Bader","SF","OF","821","MN","Reserve","32","CHC Sun 3:10PM","39.04","23%","-1%","18/106","10","5","14","34","0",".170",".557","30"
"*026mn*","Javier Baez","DET","3B,SS,OF","825","MN","Inj Res","33","@CLE Sun 1:40PM","38.83","23%","-1%","20/78","10","2","6","16","1",".256",".678","24"
"*02yk4*","Tyler O'Neill","BAL","OF","828","BOS","Active","30","SD Sun 1:35PM","38.62","22%","-1%","23/121","15","2","8","36","1",".190",".566","44"
"*0596e*","Dylan Crews","WSH","OF","829","KCP","Reserve","24","SEA Sun 1:35PM","38.6","70%","-3%","15/78","9","3","9","17","2",".192",".561","22"
"*05u9z*","Roman Anthony","BOS","OF","839","KCP","Reserve","22","TEX Sun 7:20PM","37.98","97%","0%","25/109","12","1","5","33","2",".229",".675","30"
"*03nri*","Lourdes Gurriel Jr.","ARI","OF","841","KCP","Reserve","32","@CIN Sun 1:40PM","37.75","29%","-1%","21/92","7","1","11","19","1",".228",".589","25"
"*052ru*","Josh Smith","TEX","1B,2B,3B,SS","875","GOATS","Reserve","28","@BOS Sun 7:20PM","35.67","29%","0%","20/92","6","0","6","20","2",".217",".563","31"
"*03qmh*","Jake Cronenworth","SD","2B","891","BOS","Reserve","32","@BAL Sun 1:35PM","34.57","30%","0%","14/97","13","1","4","23","1",".144",".468","32"
"*04qnd*","Noelvi Marte","CIN","3B,OF","892","KCP","Active","24","ARI Sun 1:40PM","34.55","69%","-2%","11/51","6","2","2","14","4",".216",".626","19"
"*0516g*","Ryan Ward","LAD","1B,OF","898","MN","Reserve","28","@CHW Sun 2:10PM","34.26","20%","+8%","8/35","6","3","11","11","0",".229",".813","12"
"*04mrn*","Bo Naylor","CLE","C","911","MN","Reserve","26","DET Sun 1:40PM","33.52","17%","0%","12/84","4","2","7","21","0",".143",".438","28"
"*04nx3*","Jonathan India","KC","2B,3B,OF","919","AKR","Inj Res","29","HOU Sun 2:10PM","33.24","32%","-1%","8/48","8","2","8","13","0",".167",".623","17"
"*05jse*","Tommy Troy","ARI","2B,OF","934","SSP","Active","24","@CIN Sun 1:40PM","32.52","36%","-2%","12/54","10","1","1","12","0",".222",".637","18"
"*05yc9*","Braxton Fulford","COL","C","936","KCP","Reserve","27","@ATH Sun 3:05PM","32.41","3%","0%","6/27","7","1","4","12","3",".222",".661","18"
"*05r1m*","Jordan Lawlar","ARI","3B","938","AKR","Active","23","@CIN Sun 1:40PM","32.27","71%","+3%","8/22","4","1","4","7","3",".364",".985","7"
"*070bf*","Sung Mun Song","SD","2B,3B","951","SUGA","Reserve","29","@BAL Sun 1:35PM","31.8","22%","-1%","8/42","5","0","4","11","4",".190",".506","23"
"*04pt2*","Lars Nootbaar","STL","OF","957","SSP","Reserve","28","@MIN Sun 2:10PM","31.35","51%","+3%","7/28","5","2","5","7","0",".250",".899","8"
"*050c3*","Jasson Dominguez","NYY","OF","966","AKR","Active","23","@TOR Sun 1:37PM","31.11","72%","+2%","7/34","4","2","5","5","0",".206",".691","10"
"*04t3y*","Alejandro Kirk","TOR","C","969","AKR","Active","27","NYY Sun 1:37PM","30.86","67%","+3%","6/23","3","1","4","2","0",".261",".824","6"
"*066db*","Zach Cole Jr.","HOU","OF","975","ALASKA","Minors","25","@KC Sun 2:10PM","30.59","15%","-1%","8/51","4","3","8","21","0",".157",".542","19"
"*04yi8*","Spencer Jones","NYY","OF","995","GOATS","Minors","25","@TOR Sun 1:37PM","29.2","60%","0%","10/42","2","1","5","19","1",".238",".652","16"
"*05vy9*","Pedro Ramirez","CHC","2B,3B,SS","996","SSP","Reserve","22","@SF Sun 3:10PM","29.17","29%","-2%","7/28","3","1","2","3","0",".250",".751","12"
"*05tzp*","Jacob Gonzalez","CHW","1B,2B,SS","999","PAW","Reserve","24","LAD Sun 2:10PM","28.79","41%","-2%","8/33","3","1","5","12","0",".242",".675","11"
"*06434*","Jimmy Crooks","STL","C","1007","PAW","Reserve","24","@MIN Sun 2:10PM","28.25","19%","-2%","5/25","2","1","4","8","0",".200",".646","8"
"*0641c*","Zach Dezenzo","HOU","OF","1013","ALASKA","Reserve","26","@KC Sun 2:10PM","27.99","6%","-1%","9/47","5","1","2","19","0",".191",".595","21"
"*066eo*","Cole Carrigg","COL","OF","1017","ALASKA","Minors","24","@ATH Sun 3:05PM","27.89","49%","+15%","4/19","2","2","4","5","0",".211",".882","5"
"*04nq4*","Blaze Jordan","STL","1B,3B","1030","DOB","Active","23","@MIN Sun 2:10PM","27.47","39%","+12%","4/8","2","1","4","2","0",".500","1.625","2"
"*02h98*","Enrique Hernandez","LAD","1B,3B,OF","1031","KCP","Inj Res","34","@CHW Sun 2:10PM","27.44","6%","0%","4/4","2","1","2","0","0","1.000","3.250","2"
"*05rcg*","Braden Montgomery","CHW","OF","1033","SUGA","Active","23","LAD Sun 2:10PM","27.3","72%","+15%","4/15","3","1","4","4","0",".267",".912","4"
"*04fyo*","Ronny Mauricio","NYM","3B","1041","BOS","Reserve","25","ATL Sun 1:40PM","26.86","18%","0%","7/32","3","1","2","12","0",".219",".531","10"
"*05m1b*","Denzer Guzman","LAA","SS","1043","KCP","Minors","22","TB Sun 4:07PM","26.62","17%","+1%","4/18","1","0","4","2","1",".222",".500","4"
"*06f0z*","Charles McAdoo","TOR","3B","1055","PAW","Reserve","24","NYY Sun 1:37PM","26.21","11%","-2%","4/20","2","1","3","5","0",".200",".550","6"
