"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","IP","ERA","WHIP","K","L","QS","K/BB","SVH","H/AB","R","RBI","HR","SB","SO","AVG","OPS","GP"
"*029si*","Eduardo Rodriguez","ARI","SP","101","PAW","Reserve","33","@CIN Sun 1:40PM","79.09","88%","0%","81.1","2.55","1.230","60","2","7","1.88","0","0/0","0","0","0","0","0","0",".000","14"
"*01gya*","Aroldis Chapman","BOS","RP","104","45s","Active","38","TEX Sun 7:20PM","78.77","98%","0%","20.2","0.44","0.919","28","1","0","3.11","14","0/0","0","0","0","0","0","0",".000","21"
"*05y62*","Bryan Woo","SEA","SP","106","Rome","Active","26","@WSH Sun 1:35PM","78.41","100%","0%","82","4.28","1.037","79","5","8","5.27","0","0/0","0","0","0","0","0","0",".000","14"
"*05y9r*","Justin Wrobleski","LAD","SP,RP","107","ALASKA","Reserve","25","@CHW Sun 2:10PM","78.38","87%","0%","73.1","2.95","1.050","45","2","7","2.81","0","0/0","0","0","0","0","0","0",".000","12"
"*05y7s*","Nolan McLean","NYM","SP","108","GOATS","Active","24","ATL Sun 1:40PM","77.96","99%","0%","76.1","4.01","1.140","88","4","6","2.84","0","0/0","0","0","0","0","0","0",".000","14"
"*04n0m*","Logan Gilbert","SEA","SP","109","SUGA","Active","29","@WSH Sun 1:35PM","77.96","99%","0%","79.2","3.62","1.079","82","4","5","4.32","0","0/0","0","0","0","0","0","0",".000","14"
"*06gwk*","Payton Tolle","BOS","SP,RP","112","PAW","Reserve","23","TEX Sun 7:20PM","77.67","91%","0%","53.1","2.70","1.050","54","3","5","3.86","0","0/0","0","0","0","0","0","0",".000","9"
"*03btv*","Sandy Alcantara","MIA","SP","115","MN","Active","30","@PIT Sun 12:15PM","77.42","98%","0%","97.1","4.25","1.223","71","4","10","3.09","0","0/0","0","0","0","0","0","0",".000","15"
"*02iug*","Michael Wacha","KC","SP","118","GOATS","Active","34","HOU Sun 2:10PM","77.21","96%","-1%","88","3.58","1.159","69","5","9","2.56","0","0/0","0","0","0","0","0","0",".000","14"
"*03aqv*","Raisel Iglesias","ATL","RP","119","MN","Active","36","@NYM Sun 1:40PM","77.13","97%","0%","23.1","1.16","0.986","27","1","0","5.40","14","0/0","0","0","0","0","0","0",".000","22"
"*05y0j*","Spencer Arrighetti","HOU","SP","120","SUGA","Reserve","26","@KC Sun 2:10PM","77.12","93%","0%","57","2.21","1.193","53","1","5","1.71","0","0/0","0","0","0","0","0","0",".000","10"
"*05ym7*","Fernando Cruz","NYY","RP","121","AKR","Active","36","@TOR Sun 1:37PM","77.1","41%","+2%","31.1","2.01","1.245","40","1","0","2.11","12","0/0","0","0","0","0","0","0",".000","34"
"*0260v*","Sonny Gray","BOS","SP","123","GOATS","Reserve","36","TEX Sun 7:20PM","76.92","98%","0%","62.1","3.03","1.203","51","1","7","3.19","0","0/0","0","0","0","0","0","0",".000","12"
"*04pma*","Daniel Lynch","KC","RP","125","DOB","Reserve","29","HOU Sun 2:10PM","76.49","31%","-2%","29","1.86","0.931","29","0","0","3.22","10","0/0","0","0","0","0","0","0",".000","29"
"*03dfa*","Tanner Scott","LAD","RP","131","PAW","Active","31","@CHW Sun 2:10PM","75.6","76%","-1%","29","2.48","0.759","35","3","0","11.67","12","0/0","0","0","0","0","0","0",".000","31"
"*02c4q*","Nick Martinez","TB","SP,RP","132","DOB","Reserve","35","@LAA Sun 4:07PM","75.56","90%","-1%","77.2","2.43","1.159","44","2","8","3.38","0","0/0","0","0","0","0","0","0",".000","13"
"*04mlf*","Casey Mize","DET","SP","133","SUGA","Active","29","@CLE Sun 1:40PM","75.47","92%","0%","47.2","2.27","0.965","49","3","5","4.08","0","0/0","0","0","0","0","0","0",".000","9"
"*04pkt*","J.T. Ginn","ATH","SP","135","SUGA","Reserve","27","COL Sun 3:05PM","75.38","76%","+1%","71.1","3.15","1.150","65","3","5","2.17","0","0/0","0","0","0","0","0","0",".000","15"
"*03et8*","Ranger Suarez","BOS","SP","137","PAW","Active","30","TEX Sun 7:20PM","74.75","97%","0%","70","3.21","1.171","70","3","4","3.33","0","0/0","0","0","0","0","0","0",".000","13"
"*04pps*","Hogan Harris","ATH","RP","140","ALASKA","Active","29","COL Sun 3:05PM","74.72","49%","0%","33.2","2.67","1.485","39","0","0","1.70","16","0/0","0","0","0","0","0","0",".000","36"
"*04q05*","Alex Vesia","LAD","RP","144","GOATS","Active","30","@CHW Sun 2:10PM","74.32","48%","-2%","23","2.74","1.000","31","1","0","2.58","12","0/0","0","0","0","0","0","0",".000","31"
"*041wv*","Michael King","SD","SP","148","BOS","Active","31","@BAL Sun 1:35PM","74.23","99%","0%","80.2","3.46","1.153","72","5","6","2.25","0","0/0","0","0","0","0","0","0",".000","14"
"*02i2j*","Max Fried","NYY","SP","152","GOATS","Reserve","32","@TOR Sun 1:37PM","74.14","99%","0%","61.2","3.21","1.005","50","3","6","2.63","0","0/0","0","0","0","0","0","0",".000","10"
"*04ptt*","Tarik Skubal","DET","SP","156","PAW","Active","29","@CLE Sun 1:40PM","73.84","100%","0%","48","2.81","0.979","49","3","5","7.00","0","0/0","0","0","0","0","0","0",".000","8"
"*043ia*","Adrian Morejon","SD","RP","158","45s","Active","27","@BAL Sun 1:35PM","73.51","51%","-2%","34.2","4.15","1.067","41","1","0","5.86","12","0/0","0","0","0","0","0","0",".000","32"
"*032lk*","Sean Newcomb","CHW","SP,RP","159","KCP","Active","33","LAD Sun 2:10PM","73.32","12%","+1%","39.1","2.29","1.017","36","1","0","3.60","6","0/0","0","0","0","0","0","0",".000","26"
"*051eh*","Kevin Kelly","TB","RP","161","AKR","Active","28","@LAA Sun 4:07PM","73.13","45%","0%","29.2","2.43","0.843","22","2","0","3.67","16","0/0","0","0","0","0","0","0",".000","29"
"*05vy6*","Bryce Miller","SEA","SP","163","Rome","Active","27","@WSH Sun 1:35PM","73.04","92%","+1%","35","1.54","0.714","36","0","2","7.20","0","0/0","0","0","0","0","0","0",".000","6"
"*05ge9*","Shota Imanaga","CHC","SP","164","MN","Reserve","32","@SF Sun 3:10PM","72.91","98%","-1%","81","4.44","1.062","81","6","6","3.86","0","0/0","0","0","0","0","0","0",".000","14"
"*06f1r*","Connelly Early","BOS","SP","165","SUGA","Active","24","TEX Sun 7:20PM","72.76","95%","0%","71","3.30","1.225","69","4","5","2.56","0","0/0","0","0","0","0","0","0",".000","13"
