#,Name,Age,Level,Team,Pos,Avg Rank,Coverage,Consensus,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt,LFX
"66","Felnin Celesten","20","AA","SEA","SS","136.3","8","Moderate","123","","44","26","98","41","","34"
"67","Charles Davalan","22","A+","LAD","CF","137.3","7","Tight","163","","","168","82","60","","48"
"68","Alejandro Blasco","19","A","CLE","LF","","3","","","","","","29","","1",""
"69","Zach Ehrhard","23","AAA","LAD","RF","139.8","8","Tight","91","","73","173","121","","",""
"70","Murf Gray","22","AA","PIT","3B","140.0","7","Moderate","245","","79","71","115","72","","52"
"71","Reiner Herrera","20","A","CLE","C","140.2","6","Moderate","196","","","130","46","","2",""
"72","Jett Williams","22","AAA","MIL","SS","140.6","8","Moderate","77","81","85","141","35","","","44"
"73","Emmanuel Rodriguez","23","AAA","MIN","CF","141.3","8","Moderate","120","37","","203","10","71","","40"
"74","Charlie Condon","23","AAA","COL","1B","141.9","8","Moderate","116","","50","158","124","34","","28"
"75","Emil Morales","19","A+","LAD","SS","142.2","8","Split","38","67","30","106","71","50","","39"
"76","Arjun Nimmala","20","AA","TOR","SS","143.0","8","Moderate","65","","","57","72","77","","41"
"77","Jonny Farmelo","21","AA","SEA","CF","145.1","8","Moderate","101","51","99","143","203","","","33"
"78","Boston Smith","23","AA","CHW","C","145.3","6","Moderate","315","","","126","55","93","100",""
"79","Marek Houston","22","AA","MIN","SS","147.1","8","Moderate","153","","91","43","305","21","",""
"80","Alexander Frias","18","A","MIL","RF","149.7","7","Moderate","343","","47","195","58","","29","93"
"81","Orelvis Martinez","24","MLB","FA","2B","","1","","","","","","152","","",""
"82","Kevin Alvarez","18","A","HOU","CF","155.1","8","Split","60","26","","164","88","27","","61"
"83","Jefferson Rojas","21","AA","CHC","SS","155.9","8","Split","100","","52","73","56","40","","58"
"84","Wilder Dalis","19","A","COL","3B","158.6","8","Moderate","17","","","187","117","","40",""
"85","Steele Hall","18","A","CIN","SS","","3","","","","","","169","","","51"
"86","Kendall George","21","AA","LAD","CF","159.1","8","Moderate","37","70","","68","112","","",""
"87","Yairo Padilla","19","A","STL","SS","160.0","5","Moderate","36","","","179","79","","",""
"88","Austin Overn","23","AA","TBR","CF","160.3","8","Moderate","72","1","","107","134","","",""
"89","JoJo Parker","19","A","TOR","SS","161.0","7","Tight","114","","","271","167","","","22"
"90","Zac Veen","24","MLB","COL","LF","161.0","8","Moderate","183","53","","267","149","64","","95"
"91","Nico Perez","21","A+","LAD","2B","164.3","7","Tight","136","78","","219","266","","90",""
"92","Jaison Chourio","21","AA","CLE","CF","165.3","8","Moderate","160","","86","61","170","55","","74"
"93","Yeremi Cabrera","20","A+","WSN","CF","166.7","6","Tight","129","","98","284","171","76","",""
"94","Bryan Rincon","22","AA","PHI","SS","170.9","8","Moderate","83","","","66","216","63","",""
"95","Yasser Mercedes","21","A+","MIN","CF","172.2","8","Moderate","151","","","237","217","32","",""
"96","Taitn Gray","18","A","TBR","1B","173.4","7","Moderate","85","","","135","60","","","69"
"97","Nate George","20","A+","BAL","CF","174.1","7","Moderate","149","13","","231","42","","","53"
"98","Sam Shaw","21","A+","TOR","2B","174.4","7","Split","41","","","54","209","69","31",""
"99","Kayson Cunningham","20","A+","ARI","SS","176.7","7","Moderate","106","","","77","412","91","","64"
"100","Brandon Compton","22","AA","MIA","LF","177.1","7","Moderate","49","","100","118","127","","",""
"101","Luis De La Cruz","19","A","CLE","1B","178.2","7","Moderate","135","20","","197","219","","",""
"102","Welbyn Francisca","20","A+","CLE","SS","179.1","8","Moderate","189","","","120","160","88","36",""
"103","John Gil","20","AA","ATL","SS","180.6","8","Moderate","113","","57","125","183","","","76"
"104","Caden Bodine","22","AA","TBR","C","181.1","7","Moderate","228","","81","39","188","","","71"
"105","Andreimi Antunez","19","A","TBR","SS","","2","","","","","","233","","",""
"106","Wes Clarke","26","AAA","HOU","1B","","1","","","","","","187","","",""
"107","Jorwin Pulido","17","CPX","ATL","C","","2","","","","","","317","","60",""
"108","Jose Silva","19","A","CHC","SS","190.8","6","Split","276","","","34","85","","3",""
"109","Wyatt Sanford","20","A+","PIT","SS","191.1","8","Moderate","92","","","117","221","","",""
"110","Xavier Isaac","22","AA","TBR","DH","193.8","8","Moderate","126","","","134","28","","",""
"111","Eric Bitonti","20","A+","MIL","1B","197.4","8","Moderate","86","","75","156","90","","",""
"112","Nathan Flewelling","19","A+","TBR","C","197.8","8","Split","34","","40","93","53","","","62"
"113","Deniel Ortiz","21","AA","STL","3B","198.0","8","Moderate","318","10","","74","95","","",""
"114","Carlos Gutierrez","21","A+","SFG","RF","198.9","7","Tight","138","","","211","190","","",""
"115","Luke Hill","22","AA","CLE","3B","200.0","7","Moderate","402","","","75","151","26","",""
"116","Moises Acacio","18","CPX","LAD","2B","","2","","","","","","311","","92",""
