day,mlbam_id,name,role,level,score_030,score_031,delta,rank_030,rank_031,class,continuity_floor_applied,arm_b_buckets
2026-07-23,816113,Eli Willits,hitter,A+,67.55,67.96,0.41,2,2,unintended,False,
2026-07-23,815394,Theo Gillen,hitter,AA,39.38,40.18,0.8,46,42,unintended,False,
2026-07-23,815785,Braylon Doughty,pitcher,AA,33.89,34.73,0.84,69,62,unintended,False,
2026-07-23,703596,Karson Milbrandt,pitcher,AAA,30.34,34.67,4.33,109,63,unintended,False,moderate_thin_sample_confidence
2026-07-23,815352,Caleb Bonemer,hitter,AA,33.32,33.98,0.66,76,69,unintended,False,
2026-07-23,803849,Devin Fitz-Gerald,hitter,AA,29.46,33.72,4.26,130,75,unintended,False,
2026-07-23,694211,Manuel Pena,hitter,AAA,26.33,33.39,7.06,210,78,unintended,False,
2026-07-23,800611,Noble Meyer,pitcher,A,26.26,33.28,7.02,213,80,intended,True,thin_current_sample_confidence
2026-07-23,815792,Chase Harlan,hitter,A+,30.99,31.85,0.86,101,95,unintended,False,
2026-07-23,814409,Seaver King,hitter,AAA,31.73,31.83,0.1,91,96,unintended,False,
2026-07-23,695667,Ben Kudrna,pitcher,AAA,14.53,31.2,16.67,840,103,intended,True,thin_current_sample_confidence
2026-07-23,815304,Josh Adamczewski,hitter,AA,24.38,30.96,6.58,264,108,unintended,False,
2026-07-23,816111,Tate Southisene,hitter,A+,30.45,30.75,0.3,105,110,unintended,False,
2026-07-23,809100,Ixan Henderson,pitcher,A,19.16,30.73,11.57,526,111,intended,True,thin_current_sample_confidence
2026-07-23,703197,Michael Arroyo,hitter,AAA,15.12,29.37,14.25,785,138,unintended,False,
2026-07-23,700164,Bryant Betancourt,hitter,AAA,14.7,29.02,14.32,820,147,unintended,False,
2026-07-23,802126,Joe Whitman,pitcher,AAA,27.7,28.76,1.06,171,155,unintended,False,
2026-07-23,806957,Alfredo Duno,hitter,AA,14.87,28.51,13.64,803,162,unintended,False,
2026-07-23,702484,Jackson Cox,pitcher,AA,26.76,28.27,1.51,200,166,unintended,False,
2026-07-23,828137,Miguel Sime Jr.,pitcher,A+,27.26,27.39,0.13,181,188,unintended,False,
2026-07-23,805207,Caden Bodine,hitter,AA,26.38,26.9,0.52,208,204,unintended,False,
2026-07-23,815873,Sean Keys,hitter,AAA,15.92,26.39,10.47,725,217,unintended,False,
2026-07-23,702650,Michael Forret,pitcher,AAA,22.4,26.13,3.73,350,226,unintended,False,
2026-07-23,694370,Levi Wells,pitcher,AAA,26.1,26.12,0.02,220,227,unintended,False,thin_current_sample_confidence
2026-07-23,815929,Jhonny Level,hitter,A+,23.76,25.84,2.08,285,238,unintended,False,
2026-07-23,800537,Christian Zazueta,pitcher,AA,19.11,25.61,6.5,529,245,unintended,False,moderate_thin_sample_confidence
2026-07-23,803833,Garrett Baumann,pitcher,AAA,21.38,25.45,4.07,405,250,unintended,False,
2026-07-23,691641,Jose Acuna,pitcher,AAA,18.0,25.39,7.39,598,253,unintended,False,
2026-07-23,830402,Kendry Chourio,pitcher,A+,17.81,25.29,7.48,612,258,unintended,False,moderate_thin_sample_confidence
2026-07-23,814351,Lucas Braun,pitcher,AAA,22.65,25.11,2.46,332,261,unintended,False,
2026-07-23,702652,Andrew Fischer,hitter,AA,23.99,24.55,0.56,276,274,unintended,False,
2026-07-23,800540,Hector Osorio,hitter,A+,21.24,24.34,3.1,409,280,unintended,False,
2026-07-23,683363,Matt Wilkinson,pitcher,AAA,18.69,24.02,5.33,560,289,unintended,False,moderate_thin_sample_confidence
2026-07-23,805796,Arjun Nimmala,hitter,AA,23.55,23.66,0.11,292,301,unintended,False,moderate_thin_sample_confidence
2026-07-23,702619,Luke Hill,hitter,AA,14.86,23.5,8.64,807,309,unintended,False,moderate_thin_sample_confidence
2026-07-23,808087,Junior Sanchez,pitcher,AA,19.5,23.49,3.99,503,312,unintended,False,moderate_thin_sample_confidence
2026-07-23,701339,Marek Houston,hitter,AA,22.47,23.16,0.69,345,328,unintended,False,
2026-07-23,815617,Kayson Cunningham,hitter,A+,22.7,23.12,0.42,331,331,unintended,False,
2026-07-23,808129,Juan Flores,hitter,AA,12.24,22.91,10.67,1032,343,unintended,False,moderate_thin_sample_confidence
2026-07-23,694753,Khristian Curtis,pitcher,AAA,17.17,22.77,5.6,653,346,unintended,False,
2026-07-23,809733,Connor Wietgrefe,pitcher,AAA,19.28,22.76,3.48,517,348,unintended,False,
2026-07-23,815626,Ethan Bagwell,pitcher,A+,10.0,22.49,12.49,1217,361,unintended,False,
2026-07-23,691828,Sem Robberse,pitcher,A,22.04,22.46,0.42,368,363,intended,True,thin_current_sample_confidence
2026-07-23,826315,Cole Hertzler,pitcher,AA,15.07,22.41,7.34,791,366,unintended,False,moderate_thin_sample_confidence
2026-07-23,800176,Carlos Sanchez,hitter,AA,9.98,22.32,12.34,1221,372,unintended,False,
2026-07-23,806258,Thomas White,pitcher,AAA,24.68,22.1,-2.58,258,383,unintended,False,thin_current_sample_confidence
2026-07-23,699115,Carlos Jorge,hitter,AAA,10.18,21.93,11.75,1201,389,unintended,False,
2026-07-23,700731,Keiner Delgado,hitter,AAA,10.77,21.7,10.93,1149,400,unintended,False,
2026-07-23,808365,Dameury Pena,hitter,A+,11.05,21.48,10.43,1126,417,unintended,False,
2026-07-23,800305,Jesús  Báez,hitter,AA,12.24,21.32,9.08,1031,428,unintended,False,
2026-07-23,827719,Jake Munroe,hitter,AA,12.86,21.26,8.4,979,430,unintended,False,
2026-07-23,692150,Émilien Pitre,hitter,AA,20.76,21.21,0.45,430,431,unintended,False,
2026-07-23,701178,Rafe Schlesinger,pitcher,AA,18.06,20.8,2.74,595,448,unintended,False,moderate_thin_sample_confidence
2026-07-23,703615,Jose Cabrera,pitcher,AAA,12.25,20.76,8.51,1029,453,unintended,False,moderate_thin_sample_confidence
2026-07-23,696143,Anthony Solometo,pitcher,AA,9.83,20.68,10.85,1243,458,intended,True,thin_current_sample_confidence
2026-07-23,813536,Juan Valera,pitcher,A+,19.55,20.63,1.08,497,462,intended,True,thin_current_sample_confidence
2026-07-23,814430,Brett Callahan,hitter,AAA,11.39,20.53,9.14,1094,469,unintended,False,
2026-07-23,694860,Jake Brooks,pitcher,AAA,13.05,20.39,7.34,960,478,unintended,False,
2026-07-23,807720,Garret Forrester,hitter,AAA,23.01,20.17,-2.84,319,494,unintended,False,thin_current_sample_confidence
2026-07-23,703610,Justin Lamkin,pitcher,AA,22.61,20.17,-2.44,335,495,unintended,False,thin_current_sample_confidence
2026-07-23,702270,Malcolm Moore,hitter,AA,19.54,20.08,0.54,500,502,unintended,False,
2026-07-23,807267,JD Dix,hitter,A+,19.39,19.92,0.53,509,508,unintended,False,
2026-07-23,699151,Jedixson Paez,pitcher,AA,19.92,19.91,-0.01,479,510,unintended,False,thin_current_sample_confidence
2026-07-23,828824,Josiah Ragsdale,hitter,AA,8.6,19.75,11.15,1363,517,unintended,False,
2026-07-23,691021,A.J. Vukovich,hitter,AAA,19.68,19.7,0.02,491,521,unintended,False,thin_current_sample_confidence
2026-07-23,825576,Brandt Thompson,pitcher,AAA,10.77,19.7,8.93,1150,523,unintended,False,moderate_thin_sample_confidence
2026-07-23,689818,David Sandlin,pitcher,AAA,20.18,19.54,-0.64,467,531,unintended,False,thin_current_sample_confidence
2026-07-23,803385,Jay Harry,hitter,AAA,15.83,19.26,3.43,737,547,unintended,False,moderate_thin_sample_confidence
2026-07-23,806263,Brandon Winokur,hitter,AA,13.34,19.01,5.67,935,563,unintended,False,
2026-07-23,701056,Josh Grosz,pitcher,AA,18.99,19.0,0.01,537,564,unintended,False,thin_current_sample_confidence
2026-07-23,679922,Carlos Duran,pitcher,AAA,18.97,18.99,0.02,539,565,unintended,False,thin_current_sample_confidence
2026-07-23,800125,Fernando Perez,pitcher,AA,17.01,18.73,1.72,659,583,intended,True,thin_current_sample_confidence
2026-07-23,805127,Devin Taylor,hitter,AA,18.35,18.67,0.32,579,587,unintended,False,
2026-07-23,701780,Tanner McDougal,pitcher,AAA,19.03,18.38,-0.65,535,605,unintended,False,thin_current_sample_confidence
2026-07-23,701750,Bennett Thompson,hitter,AA,5.3,18.2,12.9,1662,611,unintended,False,
2026-07-23,678142,Cedric De Grandpre,pitcher,AA,14.84,18.09,3.25,809,617,unintended,False,
2026-07-23,809844,Kien Vu,hitter,AA,4.6,17.74,13.14,1751,640,unintended,False,
2026-07-23,824600,Riley Maddox,pitcher,AA,5.84,17.69,11.85,1618,646,unintended,False,
2026-07-23,682982,Daniel Espino,pitcher,AAA,17.62,17.64,0.02,626,651,unintended,False,thin_current_sample_confidence
2026-07-23,834978,Danny Thompson Jr.,pitcher,AA,11.11,17.59,6.48,1115,655,unintended,False,moderate_thin_sample_confidence
2026-07-23,701337,Ethan Petry,hitter,AA,16.99,17.4,0.41,661,666,unintended,False,
2026-07-23,682769,Eiberson Castellano,pitcher,AAA,13.08,17.26,4.18,957,676,unintended,False,
2026-07-23,809840,Micah Ashman,pitcher,AA,17.49,17.22,-0.27,634,678,unintended,False,thin_current_sample_confidence
2026-07-23,800231,Won-Bin Cho,hitter,AA,6.77,17.18,10.41,1523,682,unintended,False,
2026-07-23,805790,Cody Bowker,pitcher,A+,11.14,17.15,6.01,1111,683,unintended,False,moderate_thin_sample_confidence
2026-07-23,807716,Ty Langenberg,pitcher,AAA,16.04,17.05,1.01,718,688,unintended,False,moderate_thin_sample_confidence
2026-07-23,800569,Alberto Barriga,hitter,AA,10.2,16.97,6.77,1199,692,unintended,False,moderate_thin_sample_confidence
2026-07-23,703680,Brandon Compton,hitter,AA,15.89,16.93,1.04,729,696,unintended,False,
2026-07-23,805942,Zach Royse,pitcher,A+,9.66,16.93,7.27,1260,697,unintended,False,
2026-07-23,828599,Lucas Spence,hitter,AAA,5.2,16.92,11.72,1674,699,unintended,False,
2026-07-23,807485,Davian Garcia,pitcher,AA,16.88,16.85,-0.03,670,703,unintended,False,thin_current_sample_confidence
2026-07-23,682620,Richard Gallardo,pitcher,AAA,15.42,16.5,1.08,765,722,unintended,False,moderate_thin_sample_confidence
2026-07-23,813715,Khadim Diaw,hitter,AA,9.99,16.49,6.5,1219,723,unintended,False,
2026-07-23,800017,Jose Montero,pitcher,AA,13.11,16.2,3.09,950,743,unintended,False,moderate_thin_sample_confidence
2026-07-23,827408,Ramon Marquez,pitcher,A+,12.07,15.88,3.81,1044,765,unintended,False,moderate_thin_sample_confidence
2026-07-23,699314,David Davalillo,pitcher,AAA,14.4,15.86,1.46,852,768,unintended,False,moderate_thin_sample_confidence
2026-07-23,687223,Carson Palmquist,pitcher,AAA,15.71,15.73,0.02,746,775,unintended,False,thin_current_sample_confidence
2026-07-23,691437,Adrian Pinto,hitter,AA,17.98,15.66,-2.32,599,781,unintended,False,thin_current_sample_confidence
2026-07-23,801796,Eli Jones,pitcher,AA,5.51,15.61,10.1,1643,785,unintended,False,moderate_thin_sample_confidence
2026-07-23,821150,Enddy Azocar,hitter,A+,15.29,15.39,0.1,774,801,unintended,False,moderate_thin_sample_confidence
2026-07-23,695604,T.J. White,hitter,AA,8.33,15.38,7.05,1395,804,unintended,False,moderate_thin_sample_confidence
2026-07-23,700255,Jacob Steinmetz,pitcher,A,12.6,15.17,2.57,996,815,intended,True,thin_current_sample_confidence
2026-07-23,802357,Drue Hackenberg,pitcher,AAA,18.83,15.12,-3.71,549,819,unintended,False,thin_current_sample_confidence
2026-07-23,802410,Jacob Zibin,pitcher,A+,10.09,15.12,5.03,1207,820,unintended,False,moderate_thin_sample_confidence
2026-07-23,695722,Boston Smith,hitter,AA,2.08,15.06,12.98,2073,827,unintended,False,
2026-07-23,807993,Nicolas Carreno,pitcher,A+,9.17,15.0,5.83,1316,831,unintended,False,moderate_thin_sample_confidence
2026-07-23,804123,Joey Volini,pitcher,AA,15.78,14.99,-0.79,742,833,unintended,False,thin_current_sample_confidence
2026-07-23,811765,Deniel Ortiz,hitter,AA,16.9,14.93,-1.97,667,835,unintended,False,thin_current_sample_confidence
2026-07-23,691292,Angel Ortiz,hitter,AAA,14.69,14.92,0.23,824,836,unintended,False,moderate_thin_sample_confidence
2026-07-23,805074,Yunior Marte,pitcher,AA,13.66,14.83,1.17,909,846,unintended,False,moderate_thin_sample_confidence
2026-07-23,815793,Carter Johnson,hitter,A+,13.88,14.77,0.89,894,851,unintended,False,
2026-07-23,529017,Alexander Cornielle,pitcher,AAA,17.85,14.62,-3.23,609,864,unintended,False,thin_current_sample_confidence
2026-07-23,815501,Bryce Meccage,pitcher,A+,14.4,14.38,-0.02,851,884,unintended,False,thin_current_sample_confidence
2026-07-23,800452,Jose Chirinos,pitcher,A+,13.66,14.32,0.66,908,889,unintended,False,moderate_thin_sample_confidence
2026-07-23,831572,Carson Fischer,pitcher,A+,2.35,14.29,11.94,2049,892,unintended,False,
2026-07-23,691414,Yorman Gómez,pitcher,AAA,14.15,14.17,0.02,873,901,unintended,False,thin_current_sample_confidence
2026-07-23,687210,Nathan Martorella,hitter,AAA,14.15,14.13,-0.02,871,906,unintended,False,thin_current_sample_confidence
2026-07-23,805880,Tanner Thach,hitter,A+,2.65,14.08,11.43,2016,914,unintended,False,
2026-07-23,808893,Bryan Balzer,pitcher,A+,1.42,14.05,12.63,2122,917,unintended,False,
2026-07-23,702331,Noah Mendlinger,hitter,AAA,9.0,13.96,4.96,1326,923,unintended,False,moderate_thin_sample_confidence
2026-07-23,824028,Gage Miller,hitter,AAA,13.72,13.9,0.18,903,927,unintended,False,moderate_thin_sample_confidence
2026-07-23,804614,Marco Vargas,hitter,AA,14.57,13.9,-0.67,835,928,unintended,False,thin_current_sample_confidence
2026-07-23,804985,Jack Anker,pitcher,A+,5.05,13.89,8.84,1691,930,unintended,False,
2026-07-23,834240,Ryan Wideman,hitter,A+,5.18,13.84,8.66,1675,932,unintended,False,
2026-07-23,808024,Carlos Virahonda,hitter,A+,4.0,13.79,9.79,1828,938,unintended,False,
2026-07-23,686544,Nestor Lorant,pitcher,AA,8.17,13.7,5.53,1411,944,unintended,False,moderate_thin_sample_confidence
2026-07-23,696062,Wilber Dotel,pitcher,AAA,14.87,13.68,-1.19,805,945,unintended,False,thin_current_sample_confidence
2026-07-23,691006,Kevin Parada,hitter,AAA,8.38,13.58,5.2,1391,951,unintended,False,moderate_thin_sample_confidence;upper_level_low_impact_hitter_model_sample
2026-07-23,682633,Eduardo Garcia,hitter,AAA,4.2,13.5,9.3,1800,956,unintended,False,moderate_thin_sample_confidence
2026-07-23,807291,Caden Scarborough,pitcher,A+,13.39,13.36,-0.03,928,971,unintended,False,thin_current_sample_confidence
2026-07-23,691616,Hedbert Perez,hitter,AA,14.4,13.23,-1.17,849,981,unintended,False,thin_current_sample_confidence
2026-07-23,691185,Maximo Acosta,hitter,AAA,13.19,13.21,0.02,946,984,unintended,False,thin_current_sample_confidence
2026-07-23,691893,Jean Cabrera,pitcher,AAA,10.51,13.19,2.68,1170,985,unintended,False,moderate_thin_sample_confidence
2026-07-23,692405,Jeremy Rivas,hitter,AAA,9.59,13.11,3.52,1268,989,unintended,False,moderate_thin_sample_confidence
2026-07-23,804670,Ryan Birchard,pitcher,AA,13.06,13.04,-0.02,959,998,unintended,False,thin_current_sample_confidence
2026-07-23,691941,Calvin Harris,hitter,AA,13.01,12.81,-0.2,965,1019,unintended,False,thin_current_sample_confidence
2026-07-23,815043,Simon Miller,pitcher,AA,11.15,12.76,1.61,1109,1021,intended,True,thin_current_sample_confidence
2026-07-23,813400,Jack Winnay,hitter,AA,3.32,12.75,9.43,1918,1022,unintended,False,
2026-07-23,806270,Dominic Perachi,pitcher,AA,13.36,12.71,-0.65,933,1024,unintended,False,thin_current_sample_confidence
2026-07-23,690985,Colby Halter,hitter,AAA,5.94,12.66,6.72,1612,1026,unintended,False,moderate_thin_sample_confidence
2026-07-23,822514,Max Banks,pitcher,A+,4.15,12.63,8.48,1810,1031,unintended,False,
2026-07-23,800387,Fernando Peguero,hitter,AAA,4.1,12.56,8.46,1819,1038,unintended,False,moderate_thin_sample_confidence
2026-07-23,823790,Will McCausland,pitcher,A+,2.2,12.41,10.21,2061,1054,unintended,False,
2026-07-23,699276,Jose Olivares,pitcher,AA,13.02,12.35,-0.67,964,1059,unintended,False,thin_current_sample_confidence
2026-07-23,692368,Adrián Sugastey,hitter,AAA,12.49,12.21,-0.28,1006,1072,unintended,False,thin_current_sample_confidence
2026-07-23,814346,Dylan Watts,pitcher,A+,1.67,12.19,10.52,2105,1076,unintended,False,moderate_thin_sample_confidence
2026-07-23,688354,Hayden Minton,pitcher,AA,6.19,12.11,5.92,1589,1080,unintended,False,
2026-07-23,807728,Carter Graham,hitter,AA,0.79,11.88,11.09,2182,1097,unintended,False,
2026-07-23,832307,Jack Kartsonas,pitcher,AA,0.2,11.88,11.68,2239,1098,unintended,False,
2026-07-23,822477,JB Middleton,pitcher,A,11.43,11.45,0.02,1089,1125,unintended,False,thin_current_sample_confidence
2026-07-23,801075,Walker Janek,hitter,AA,11.45,11.11,-0.34,1086,1148,unintended,False,thin_current_sample_confidence
2026-07-23,803291,Christian Oppor,pitcher,AA,11.06,11.08,0.02,1124,1150,unintended,False,thin_current_sample_confidence
2026-07-23,686445,Sammy Siani,hitter,AA,10.96,10.98,0.02,1133,1163,unintended,False,thin_current_sample_confidence
2026-07-23,691405,Juan Benjamin,hitter,AAA,0,10.96,10.96,2384,1165,unintended,False,moderate_thin_sample_confidence
2026-07-23,814384,Alexander Meckley,pitcher,A+,5.59,10.91,5.32,1635,1166,unintended,False,moderate_thin_sample_confidence
2026-07-23,807748,Kannon Kemp,pitcher,A+,9.75,10.9,1.15,1250,1170,intended,True,thin_current_sample_confidence
2026-07-23,696286,Davis Diaz,hitter,AA,10.71,10.85,0.14,1155,1174,unintended,False,moderate_thin_sample_confidence
2026-07-23,822966,John Taylor,hitter,AAA,8.62,10.74,2.12,1362,1187,unintended,False,moderate_thin_sample_confidence
2026-07-23,801507,Jake Cunningham,hitter,AA,1.97,10.42,8.45,2082,1208,unintended,False,
2026-07-23,677601,Keyber Rodriguez,hitter,AAA,6.66,10.37,3.71,1539,1212,unintended,False,moderate_thin_sample_confidence
2026-07-23,695646,Peter Heubeck,pitcher,AA,9.99,9.96,-0.03,1220,1250,unintended,False,thin_current_sample_confidence
2026-07-23,801643,Owen Wild,pitcher,AAA,9.18,9.83,0.65,1312,1268,unintended,False,moderate_thin_sample_confidence
2026-07-23,808825,Andrew Sears,pitcher,AA,14.24,9.78,-4.46,861,1273,unintended,False,thin_current_sample_confidence
2026-07-23,800254,Abrahan Ramirez,hitter,A+,2.87,9.73,6.86,1986,1277,unintended,False,moderate_thin_sample_confidence
2026-07-23,801957,Dub Gleed,hitter,AA,2.48,9.73,7.25,2037,1278,unintended,False,
2026-07-23,800223,Yorman Galindez,pitcher,AA,14.8,9.65,-5.15,812,1287,unintended,False,thin_current_sample_confidence
2026-07-23,694633,Chase Hampton,pitcher,AA,16.19,9.55,-6.64,709,1301,unintended,False,thin_current_sample_confidence
2026-07-23,693739,Alexander Alberto,pitcher,AAA,12.66,9.41,-3.25,989,1312,unintended,False,thin_current_sample_confidence
2026-07-23,683349,Calvin Ziegler,pitcher,A+,2.16,9.31,7.15,2064,1326,intended,True,thin_current_sample_confidence
2026-07-23,694408,Riley Eikhoff,pitcher,A+,0,9.17,9.17,2787,1341,unintended,False,
2026-07-23,691913,Jesus Castillo,hitter,AAA,6.2,9.11,2.91,1587,1345,unintended,False,moderate_thin_sample_confidence
2026-07-23,691621,Jheremy Vargas,hitter,AAA,10.08,9.09,-0.99,1208,1347,unintended,False,thin_current_sample_confidence
2026-07-23,809059,Danny Macchiarola,pitcher,A,8.92,8.9,-0.02,1334,1360,unintended,False,thin_current_sample_confidence
2026-07-23,694689,Dominic Pitelli,hitter,AAA,5.99,8.87,2.88,1606,1362,unintended,False,moderate_thin_sample_confidence
2026-07-23,700251,Brandon Clarke,pitcher,A,0.8,8.81,8.01,2181,1366,intended,True,thin_current_sample_confidence
2026-07-23,805279,Jason Reitz,pitcher,A,8.7,8.71,0.01,1348,1374,unintended,False,thin_current_sample_confidence
2026-07-23,813636,Phil Fox,pitcher,AA,8.7,8.71,0.01,1349,1375,unintended,False,thin_current_sample_confidence
2026-07-23,692243,Jaden Woods,pitcher,AAA,12.9,8.65,-4.25,976,1383,unintended,False,thin_current_sample_confidence
2026-07-23,691186,Arol Vera,hitter,AAA,10.03,8.54,-1.49,1212,1396,unintended,False,thin_current_sample_confidence
2026-07-23,815653,Tyson Lewis,hitter,A+,7.5,8.38,0.88,1460,1417,unintended,False,
2026-07-23,684081,Erick Brito,hitter,AA,9.47,8.32,-1.15,1280,1421,unintended,False,thin_current_sample_confidence
2026-07-23,803183,Luke Fox,pitcher,AA,8.3,8.32,0.02,1398,1422,unintended,False,thin_current_sample_confidence
2026-07-23,695771,Jacob Kmatz,pitcher,AA,3.42,8.3,4.88,1902,1424,unintended,False,moderate_thin_sample_confidence
2026-07-23,813706,Owen Hackman,pitcher,AA,11.43,8.25,-3.18,1090,1431,unintended,False,thin_current_sample_confidence
2026-07-23,811948,Tony Santa Maria,hitter,AAA,0,8.21,8.21,2452,1437,unintended,False,
2026-07-23,805311,Nick Sando,pitcher,AAA,10.99,8.21,-2.78,1130,1438,unintended,False,thin_current_sample_confidence
2026-07-23,802407,Joe Lampe,hitter,AAA,0,8.12,8.12,2364,1446,unintended,False,moderate_thin_sample_confidence;upper_level_low_impact_hitter_model_sample
2026-07-23,696070,Kendry Rojas,pitcher,AAA,8.72,8.11,-0.61,1346,1447,unintended,False,thin_current_sample_confidence
2026-07-23,687282,Gabriel Rincones Jr.,hitter,AAA,14.21,8.07,-6.14,865,1450,unintended,False,thin_current_sample_confidence
2026-07-23,683494,Euribiel Angeles,hitter,AAA,2.63,8.03,5.4,2020,1455,unintended,False,moderate_thin_sample_confidence
2026-07-23,685763,Jonatan Bernal,pitcher,AAA,2.93,7.77,4.84,1978,1474,unintended,False,moderate_thin_sample_confidence
2026-07-23,808903,Emilio Barreras,hitter,A+,6.76,7.6,0.84,1524,1485,unintended,False,moderate_thin_sample_confidence
2026-07-23,684128,Reidis Sena,pitcher,AAA,10.21,7.44,-2.77,1198,1495,unintended,False,thin_current_sample_confidence
2026-07-23,806637,Jordan Woods,pitcher,A+,0,7.41,7.41,2686,1499,unintended,False,moderate_thin_sample_confidence
2026-07-23,694186,Shalin Polanco,hitter,AA,0,7.39,7.39,2445,1502,unintended,False,moderate_thin_sample_confidence
2026-07-23,824613,Cole Tolbert,pitcher,A,7.18,7.2,0.02,1492,1525,unintended,False,thin_current_sample_confidence
2026-07-23,814388,Hayden Snelsire,pitcher,AAA,8.33,7.18,-1.15,1396,1527,unintended,False,thin_current_sample_confidence
2026-07-23,806121,Mac Heuer,pitcher,A,7.1,7.11,0.01,1497,1532,unintended,False,thin_current_sample_confidence
2026-07-23,806522,Irving Cota,pitcher,AA,8.69,6.86,-1.83,1351,1552,unintended,False,thin_current_sample_confidence
2026-07-23,800212,Francis Peña,pitcher,AA,6.87,6.85,-0.02,1517,1553,unintended,False,thin_current_sample_confidence
2026-07-23,703566,Carson Messina,pitcher,A,6.81,6.83,0.02,1519,1554,unintended,False,thin_current_sample_confidence
2026-07-23,691398,Yerlin Confidan,hitter,AA,0,6.81,6.81,2468,1556,unintended,False,
2026-07-23,823242,Tanner Gresham,pitcher,A+,0,6.79,6.79,2814,1558,unintended,False,moderate_thin_sample_confidence
2026-07-23,808291,Tyler Rodriguez,hitter,A+,2.14,6.75,4.61,2066,1564,unintended,False,moderate_thin_sample_confidence
2026-07-23,694991,Mitch Jebb,hitter,AAA,11.55,6.72,-4.83,1080,1570,unintended,False,thin_current_sample_confidence
2026-07-23,806441,Nehomar Ochoa Jr.,hitter,A+,5.07,6.72,1.65,1686,1571,unintended,False,moderate_thin_sample_confidence
2026-07-23,702576,Mason McGwire,pitcher,A+,5.04,6.59,1.55,1694,1584,unintended,False,moderate_thin_sample_confidence
2026-07-23,695556,Shane Panzini,pitcher,AAA,6.44,6.46,0.02,1566,1603,unintended,False,thin_current_sample_confidence
2026-07-23,823295,Jay Thomason,hitter,AA,0,6.41,6.41,2360,1606,unintended,False,
2026-07-23,805590,Dylan Palmer,hitter,A+,0,6.39,6.39,2317,1607,unintended,False,
2026-07-23,805273,Frank Camarillo,pitcher,A+,3.04,6.38,3.34,1967,1609,unintended,False,moderate_thin_sample_confidence
2026-07-23,702582,Dallas Macias,hitter,A+,0,6.36,6.36,2302,1612,unintended,False,
2026-07-23,801367,Matt Jachec,pitcher,AAA,6.67,6.29,-0.38,1538,1622,unintended,False,thin_current_sample_confidence
2026-07-23,809633,Michael Dattalo,hitter,A+,1.12,6.15,5.03,2149,1632,unintended,False,moderate_thin_sample_confidence
2026-07-23,701734,Ryan McCrystal,hitter,AA,2.55,6.13,3.58,2029,1635,unintended,False,moderate_thin_sample_confidence
2026-07-23,808547,Keyner Benitez,pitcher,A,6.11,6.08,-0.03,1595,1638,unintended,False,thin_current_sample_confidence
2026-07-23,693311,Tink Hence,pitcher,AAA,5.82,5.84,0.02,1620,1657,unintended,False,thin_current_sample_confidence
2026-07-23,702526,Eric Snow,hitter,AA,1.57,5.7,4.13,2108,1666,unintended,False,moderate_thin_sample_confidence
2026-07-23,800260,Anthony Flores,pitcher,AA,5.71,5.69,-0.02,1628,1668,unintended,False,thin_current_sample_confidence
2026-07-23,702495,Josh Tate,hitter,A+,0,5.63,5.63,2382,1671,unintended,False,
2026-07-23,689296,Anthony Nunez,pitcher,AAA,2.43,5.49,3.06,2043,1683,intended,True,thin_current_sample_confidence
2026-07-23,811312,Justin Riemer,hitter,AA,0,5.44,5.44,2391,1688,unintended,False,moderate_thin_sample_confidence
2026-07-23,804946,Tyler Howard,hitter,A+,0,5.41,5.41,2456,1691,unintended,False,moderate_thin_sample_confidence
2026-07-23,692290,Carter Holton,pitcher,A,5.25,5.27,0.02,1668,1703,unintended,False,thin_current_sample_confidence
2026-07-23,814005,Jake Bloss,pitcher,AAA,11.15,5.18,-5.97,1108,1709,unintended,False,thin_current_sample_confidence
2026-07-23,701820,Jacob Friend,hitter,A+,3.34,5.17,1.83,1913,1710,unintended,False,moderate_thin_sample_confidence
2026-07-23,700357,Juan Rojas,pitcher,AA,9.49,5.15,-4.34,1279,1715,unintended,False,thin_current_sample_confidence
2026-07-23,693781,Wilian Bormie,pitcher,AAA,9.51,5.15,-4.36,1278,1716,unintended,False,thin_current_sample_confidence
2026-07-23,806128,Antonio Jimenez,hitter,A+,0,5.04,5.04,2266,1727,unintended,False,moderate_thin_sample_confidence
2026-07-23,694742,Josh Moylan,hitter,AA,0,4.87,4.87,2381,1750,unintended,False,
2026-07-23,694266,D'Andre Smith,hitter,AA,5.86,4.81,-1.05,1615,1760,unintended,False,thin_current_sample_confidence
2026-07-23,806640,Daniel Keaney,pitcher,A,4.81,4.79,-0.02,1724,1764,unintended,False,thin_current_sample_confidence
2026-07-23,699134,Bradgley Rodriguez,pitcher,AA,0,4.73,4.73,2515,1771,intended,True,thin_current_sample_confidence
2026-07-23,695000,Poncho Ruiz,hitter,AA,4.6,4.61,0.01,1752,1786,unintended,False,thin_current_sample_confidence
2026-07-23,806083,J.D. Gonzalez,hitter,A+,0,4.35,4.35,2348,1815,unintended,False,moderate_thin_sample_confidence
2026-07-23,804556,Braden Nett,pitcher,AAA,4.31,4.32,0.01,1786,1821,unintended,False,thin_current_sample_confidence
2026-07-23,694181,Carlos Colmenarez,hitter,AAA,3.39,4.29,0.9,1906,1825,unintended,False,moderate_thin_sample_confidence
2026-07-23,700179,Connor Oliver,pitcher,AA,2.45,4.24,1.79,2040,1830,unintended,False,moderate_thin_sample_confidence
