day,mlbam_id,name,role,level,score_030,score_031,delta,rank_030,rank_031,class,continuity_floor_applied,arm_b_buckets
2026-07-26,814366,Cade Feeney,pitcher,AAA,5.35,4.17,-1.18,1696,1879,unintended,False,thin_current_sample_confidence
2026-07-26,809685,Aiven Cabral,pitcher,A+,0,4.07,4.07,2514,1887,unintended,False,moderate_thin_sample_confidence
2026-07-26,809784,Garrett Stratton,pitcher,AA,0,4.0,4.0,2640,1897,unintended,False,moderate_thin_sample_confidence
2026-07-26,671748,Casey Yamauchi,hitter,AAA,0,3.99,3.99,2314,1898,unintended,False,
2026-07-26,693243,Garrett Pennington,hitter,AA,0,3.89,3.89,2356,1914,unintended,False,
2026-07-26,683353,Connor Caskenette,hitter,AA,0,3.88,3.88,2319,1915,unintended,False,moderate_thin_sample_confidence
2026-07-26,683103,Cade Doughty,hitter,AA,4.8,3.83,-0.97,1757,1919,unintended,False,thin_current_sample_confidence
2026-07-26,800348,Edwin Amparo,hitter,A+,0,3.77,3.77,2343,1921,unintended,False,
2026-07-26,691947,Ronan Kopp,pitcher,AAA,3.76,3.77,0.01,1879,1922,unintended,False,thin_current_sample_confidence
2026-07-26,702640,Tyler Gough,pitcher,A+,2.02,3.67,1.65,2101,1933,unintended,False,moderate_thin_sample_confidence
2026-07-26,683568,Jairo Iriarte,pitcher,AAA,3.03,3.64,0.61,2006,1940,unintended,False,moderate_thin_sample_confidence
2026-07-26,821061,Irwin Ramirez,pitcher,A,3.6,3.62,0.02,1904,1947,unintended,False,thin_current_sample_confidence
2026-07-26,699228,Jakey Josepha,hitter,AA,0,3.6,3.6,2383,1951,unintended,False,
2026-07-26,701136,Kerrington Cross,hitter,A+,0,3.46,3.46,2420,1970,unintended,False,
2026-07-26,686981,Brenden Dixon,hitter,AA,3.46,3.44,-0.02,1927,1973,unintended,False,thin_current_sample_confidence
2026-07-26,805517,Jackson Steensma,pitcher,A,3.41,3.39,-0.02,1937,1982,unintended,False,thin_current_sample_confidence
2026-07-26,703821,Myles Caba,pitcher,AA,6.37,3.38,-2.99,1602,1984,unintended,False,thin_current_sample_confidence
2026-07-26,701404,Fisher Jameson,pitcher,AAA,0,3.3,3.3,2631,1994,unintended,False,moderate_thin_sample_confidence
2026-07-26,696098,Jose Romero,pitcher,A+,0,3.21,3.21,2724,2009,intended,True,thin_current_sample_confidence
2026-07-26,692285,Luis Guerrero,pitcher,AAA,3.22,3.21,-0.01,1968,2010,unintended,False,thin_current_sample_confidence
2026-07-26,696040,Po-Yu Chen,pitcher,AA,3.18,3.2,0.02,1976,2015,unintended,False,thin_current_sample_confidence
2026-07-26,701860,Carter Cunningham,hitter,AA,0,3.17,3.17,2313,2018,unintended,False,
2026-07-26,802192,Daniel Corniel,pitcher,A+,3.16,3.14,-0.02,1980,2026,unintended,False,thin_current_sample_confidence
2026-07-26,683104,Trey Faltine,hitter,AAA,4.33,3.02,-1.31,1811,2048,unintended,False,thin_current_sample_confidence
2026-07-26,800544,Cesar Lares,pitcher,A+,2.81,2.83,0.02,2030,2066,unintended,False,thin_current_sample_confidence
2026-07-26,833381,Jack Moroknek,hitter,A+,0,2.79,2.79,2374,2071,unintended,False,moderate_thin_sample_confidence
2026-07-26,807697,Jervis Alfaro,pitcher,A+,1.56,2.78,1.22,2138,2072,unintended,False,moderate_thin_sample_confidence
2026-07-26,695605,Travis Smith,pitcher,AA,0,2.73,2.73,2854,2077,unintended,False,moderate_thin_sample_confidence
2026-07-26,693832,Tre Richardson III,hitter,AA,0.46,2.72,2.26,2231,2078,unintended,False,moderate_thin_sample_confidence
2026-07-26,804466,Carter Garate,hitter,AAA,3.05,2.7,-0.35,2000,2082,unintended,False,thin_current_sample_confidence
2026-07-26,824742,Logan Braunschweig,hitter,AA,1.28,2.69,1.41,2161,2084,unintended,False,moderate_thin_sample_confidence
2026-07-26,701862,Jacob Walsh,hitter,A+,0.63,2.51,1.88,2215,2108,unintended,False,moderate_thin_sample_confidence
2026-07-26,809231,Tom Poole,hitter,A+,0,2.48,2.48,2482,2109,unintended,False,moderate_thin_sample_confidence
2026-07-26,682999,Will Childers,pitcher,AAA,3.43,2.31,-1.12,1932,2118,unintended,False,thin_current_sample_confidence
2026-07-26,679754,Alberto Rodriguez,hitter,AA,2.32,2.3,-0.02,2080,2119,unintended,False,thin_current_sample_confidence
2026-07-26,807187,Mathias LaCombe,pitcher,AA,3.6,2.26,-1.34,1905,2122,unintended,False,thin_current_sample_confidence
2026-07-26,687195,Jake Garland,pitcher,AAA,5.52,2.25,-3.27,1680,2124,unintended,False,thin_current_sample_confidence
2026-07-26,805879,Connor Foley,pitcher,A,2.13,2.11,-0.02,2088,2132,unintended,False,thin_current_sample_confidence
2026-07-26,681495,Cade Fergus,hitter,AAA,5.63,2.01,-3.62,1665,2142,unintended,False,thin_current_sample_confidence
2026-07-26,702631,Adonys Guzman,hitter,A+,0,1.93,1.93,2276,2147,unintended,False,moderate_thin_sample_confidence
2026-07-26,702563,Mason Neville,hitter,A+,0,1.91,1.91,2442,2149,unintended,False,moderate_thin_sample_confidence
2026-07-26,685719,Fernando Sanchez,pitcher,AAA,7.84,1.61,-6.23,1449,2172,unintended,False,thin_current_sample_confidence
2026-07-26,815133,Cameron Sisneros,hitter,AA,1.43,1.57,0.14,2149,2173,unintended,False,moderate_thin_sample_confidence
2026-07-26,692226,Ty Floyd,pitcher,A+,1.56,1.57,0.01,2140,2176,unintended,False,thin_current_sample_confidence
2026-07-26,811573,Myles Patton,pitcher,A,1.57,1.56,-0.01,2135,2180,unintended,False,thin_current_sample_confidence
2026-07-26,691942,Jack O'Dowd,hitter,AA,0,1.48,1.48,2375,2185,unintended,False,moderate_thin_sample_confidence
2026-07-26,822877,Luke Cantwell,hitter,A+,0,1.48,1.48,2435,2186,unintended,False,moderate_thin_sample_confidence
2026-07-26,801039,John Garcia,hitter,AA,0,1.25,1.25,2393,2204,unintended,False,moderate_thin_sample_confidence
2026-07-26,814194,Quinn McDaniel,hitter,AA,0.26,1.2,0.94,2246,2208,unintended,False,moderate_thin_sample_confidence
2026-07-26,695046,Drew Brutcher,hitter,AA,0,1.19,1.19,2338,2209,unintended,False,moderate_thin_sample_confidence
2026-07-26,694399,Elijah Nunez,hitter,AA,0,1.19,1.19,2344,2210,unintended,False,moderate_thin_sample_confidence
2026-07-26,687268,K.C. Hunt,pitcher,AAA,4.1,1.18,-2.92,1842,2212,unintended,False,thin_current_sample_confidence
